canonical_smiles
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C(=O)NO
C=C(C)[C@H](CC)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CC(C)=CCc1c(O)c(CC=C(C)C)c2oc(=O)cc(-c3ccc(O)cc3)c2c1O
COc1cc(O)c2c(=O)c(OC)c(-c3ccccc3OC)oc2c1
CC(C)=CCc1c(O)ccc2c1OCC1c3cc4c(cc3OC21)OCO4
C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/C=C/CC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
COc1c(/C=C/C(=O)c2c(O)cccc2O)ccc2c1C=CC(C)(C)O2
COc1ccc(-c2cc(=O)c3c(O)c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3o2)cc1
C=C1/C(=C\C=C2/CCC[C@]3(COCC#CC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1
C[C@@H]1O[C@@H](Oc2ccc(-c3oc4cc(O)c(O)c(O)c4c(=O)c3OC[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2O)[C@H](O)[C@H](O)[C@H]1O
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](COC(=O)/C=C/c3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O
C=C1CC[C@@H](/C=C/[C@@H](O)C(C)(C)O)[C@H](O)C1
COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3c(-c4ccc(O)cc4)oc4cc(O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)cc(O)c4c3=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C=C(C)[C@H]1CC=C(CO)CC1
COc1cc(O)cc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)c1O
COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)COS(=O)(=O)O
COc1cc2c(c(O)c1CC=C(C)C)C(=O)CC(c1ccc3c(c1)OCO3)O2
O=c1c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
O=C(/C=C/c1ccc(O)cc1)O[C@H]1[C@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
COc1cc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4OC[C@H](O)[C@H](O)[C@H]4O)c3o2)ccc1O
CCOC1(C)CC[C@]2(C)C3=CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C[C@@H]1OC(=O)CN1C
O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@@H]1O
COc1ccc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(OC)c([C@@H]4OC[C@H](O)[C@H](O)[C@H]4O)c3o2)cc1
COc1cc2c(cc1O)OC1c3cc(OC)c(OC)cc3OCC21O
CCCc1cc2c(cc1O)OC1c3ccc(O)cc3OCC21
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](OO)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]2O)cc1
CC1=C(/C=C/C(C)=C/C=C/C(C)CC(O)C2OC2(C)C)C(C)(C)CCC1
CC1=CC(=O)CC(C)(C)/C1=C/C=C(C)/C=C/C=C(C)/C=C/C=C/C(C)=C/C=O
CC(C)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
O=C(O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1c1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O)c1cc(O)cc(O)c1
COc1cc(O)cc2oc(=O)c3c4ccc(O)cc4oc3c12
Oc1ccc([C@H]2Oc3c(c(O)cc(O)c3[C@H]3c4c(O)cccc4O[C@H](c4ccc(O)c(O)c4)[C@@H]3O)C[C@@H]2O)cc1
CC(C)=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)ccc2c1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
CC(C)C1CC=C2CC[C@@]3(C)CCCC(C)(C)C3CC[C@]21C
COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)c(O)c3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(=O)c12
CC1=C[C@@H]2C[C@H]3[C@]4(C)CC[C@H](O)[C@](C)(C(=O)O)[C@H]4CC[C@]3(C)C(=O)[C@@]2(C)CC1
C=C(C/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
CC(CCC(O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)O
O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
COc1cc(-c2coc3cc(O)cc(O)c3c2=O)cc(O)c1O
CC(C)=CCc1c(O)ccc2c1OCC1c3ccc(O)cc3OC21
C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)O
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)C[C@H](O)[C@@]4(C)CO4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
COc1cc(O)c2c(c1)OC(C)(C)C=C2
COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)c(O)c3o2)cc(OC)c1OC
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)ccc1O
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21
O=C(O)C(=O)OC[C@H]1O[C@@H](Oc2cc(O)cc3[o+]c(-c4cc(O)c(O)c(O)c4)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc23)[C@H](O)[C@@H](O)[C@@H]1O
C=C(C)C(O)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)c(OC3OCC(O)C(O)C3O)c1)CC2=O
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2OC)cc1
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
COc1c(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc2oc(-c3ccccc3)cc(=O)c2c1O
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O
CC(C)C(O)(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
